ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,MEDIAN_INC,UNITS_INC_0_5K_PCT,UNITS_INC_5K_10K_PCT,UNITS_INC_10K_15K_PCT,UNITS_INC_15_20K_PCT,UNITS_INC_GRT_20K_PCT
13815,AL,ADAMS CROSSINGS FORMERLY BROWNSTONE APARTMENTS,BOAZ,100,17200,-4,-4,-4,-4,32.5
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,100,15863.5,-4,-4,-4,-4,-4
18705,AL,ADDISON WAY,SELMA,100,18720,-4,18.6,-4,28,39.8
10423,AL,AHEPA 310 APARTMENTS,MOBILE,100,12429,-4,24,43.8,22.9,-4
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,100,17774,23.2,-4,-4,-4,39.3
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,100,2400,65.2,16.7,-4,-4,-4
4522,AL,ALEX PLACE,LIVINGSTON,100,12387,-4,-4,-4,-4,-4
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,100,22209,0,0,-4,-4,62.5
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,100,24829,0,-4,-4,-4,68.8
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,100,15682.5,0,-4,41.7,29.2,-4
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,97.7,20017,0,-4,-4,-4,50
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,100,22084,-4,-4,-4,-4,56.3
20527,AL,ALISON POINTE APARTMENTS,FOLEY,100,24017.5,-4,-4,10.2,17.2,68
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,100,18100,0,17.6,17.6,23.5,41.2
29441,AL,AMBERWOOD APARTMENTS,TROY,100,12154.5,0,30.6,41.7,-4,-4
22192,AL,AMBERWOOD VILLAS FORMERLY AMBERWOOD,SULLIGENT,92.5,15036,-4,-4,29.7,-4,-4
1916,AL,AMESBURY APARTMENTS,PELL CITY,100,16688,0,-4,38.2,32.7,-4
33720,AL,ANGELA MEADOWS,ALBERTVILLE,100,18639,0,25,-4,-4,45.8
18702,AL,ANNANDALE PARK APARTMENTS,ROBERTSDALE,99,24456,-4,0,-4,16.5,75.7
18703,AL,ANNE PLACE,MOBILE,100,20800,0,-4,22.8,-4,53.3
10996,AL,ANNIE LEE GARDENS FKA SUNRISE MANOR,ARAB,100,14614,-4,-4,47.5,32.5,-4
15635,AL,APARTMENTS AT RUSSEL ERSKINE FKA RUSSEL ERSKINE BUILDING,HUNTSVILLE,100,11004,-4,37.7,33.3,21.7,-4
10265,AL,APPLEGATE APARTMENTS,FLORENCE,100,15147,0,-4,-4,-4,-4
1294,AL,ARBOR GATE APARTMENTS,BRIDGEPORT,100,10585,-4,-4,45.8,-4,-4
9415,AL,ARBOR PARK,TALLADEGA,100,20366,-4,-4,-4,-4,50
6292,AL,ARBORS AT VICTORIA PLACE I F/K/A VICTORIA PLACE,PRATTVILLE,100,23356,0,-4,-4,19.6,67.9
20476,AL,ARBORS AT VICTORIA PLACE II F/K/A VICTORIA PLACE APARTMENTS II,PRATTVILLE,100,22807,0,-4,-4,-4,62.5
31,AL,ARBORS BY THE BAY FKA NORTH FORK APARTMENTS,DAPHNE,100,30000,-4,-4,-4,-4,82
10420,AL,ARBOURS AT CANE CREEK F/K/A CANE CREEK APARTMENTS,ANNISTON,100,20000,-4,12.4,-4,25.5,49.6
27512,AL,ARBOURS AT DEMOPOLIS,DEMOPOLS,100,5590,43.8,26.3,15,-4,-4
1299,AL,ARBOURS AT DEMOPOLIS,DEMOPOLIS,100,5590,43.8,26.3,15,-4,-4
31991,AL,ARBOURS AT PIERCE CREEK,MOBILE,100,17432,0,24.6,-4,39.1,-4
11001,AL,ARDMORE SQUARE APARTMENTS,ARDMORE,100,20510,0,-4,-4,-4,58.3
