ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
29392,AK,TYONEK TERRACE,ANCHORAGE,-4,-4,0,-4,-4,-4,0,-4
29393,AK,WEEKS FIELD ESTATES II,FAIRBANKS,91.1,91.1,0,-4,23.5,23.5,25.5,-4
28601,AK,WEEKSFIELD APARTMENTS,FAIRBANKS,100,71.6,0,26.4,20.8,24.5,-4,-4
1823,AK,WILLOW POINTE LIMITED PARTNERSHIP,PALMER,100,100,-4,67.9,-4,-4,0,0
13815,AL,ADAMS CROSSINGS FORMERLY BROWNSTONE APARTMENTS,BOAZ,100,0,0,0,0,0,0,0
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,100,0,0,0,0,0,0,0
18705,AL,ADDISON WAY,SELMA,100,0,0,0,0,0,0,0
10423,AL,AHEPA 310 APARTMENTS,MOBILE,100,0,0,0,0,0,0,0
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,100,0,0,0,0,0,0,0
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,100,0,0,0,0,0,0,0
4522,AL,ALEX PLACE,LIVINGSTON,100,0,0,0,0,0,0,0
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,100,0,0,0,0,0,0,0
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,100,0,0,0,0,0,0,0
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,100,0,0,0,0,0,0,0
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,97.7,0,0,0,0,0,0,0
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,100,0,0,0,0,0,0,0
20527,AL,ALISON POINTE APARTMENTS,FOLEY,100,0,0,0,0,0,0,0
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,100,0,0,0,0,0,0,0
29441,AL,AMBERWOOD APARTMENTS,TROY,100,0,0,0,0,0,0,0
22192,AL,AMBERWOOD VILLAS FORMERLY AMBERWOOD,SULLIGENT,92.5,0,0,0,0,0,0,0
1916,AL,AMESBURY APARTMENTS,PELL CITY,100,0,0,0,0,0,0,0
33720,AL,ANGELA MEADOWS,ALBERTVILLE,100,0,0,0,0,0,0,0
18702,AL,ANNANDALE PARK APARTMENTS,ROBERTSDALE,99,0,0,0,0,0,0,0
18703,AL,ANNE PLACE,MOBILE,100,0,0,0,0,0,0,0
10996,AL,ANNIE LEE GARDENS FKA SUNRISE MANOR,ARAB,100,0,0,0,0,0,0,0
15635,AL,APARTMENTS AT RUSSEL ERSKINE FKA RUSSEL ERSKINE BUILDING,HUNTSVILLE,100,0,0,0,0,0,0,0
10265,AL,APPLEGATE APARTMENTS,FLORENCE,100,0,0,0,0,0,0,0
1294,AL,ARBOR GATE APARTMENTS,BRIDGEPORT,100,0,0,0,0,0,0,0
