ID,STATE,PROPERTYNAME,CITY,UNITS_FRA_SRC_PCT,UNITS_FRA_SRC_PBRA_PCT,UNITS_FRA_SRC_S8_PCT,UNITS_FRA_SRC_PH_PCT,UNITS_FRA_SRC_HOME_PCT,UNITS_FRA_SRC_HCV_PCT,UNITS_FRA_SRC_PBV_PCT,UNITS_FRA_SRC_S521_PCT,UNITS_FRA_SRC_OTHER_PCT
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,28.1,0,0,0,0,0,0,0,-4
18705,AL,ADDISON WAY,SELMA,30.5,0,0,0,0,-4,0,0,-4
10423,AL,AHEPA 310 APARTMENTS,MOBILE,100,-4,0,0,0,0,0,-4,0
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,33.9,0,0,0,0,-4,0,0,-4
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,98.5,-4,0,0,0,0,0,0,-4
4522,AL,ALEX PLACE,LIVINGSTON,37.5,0,0,0,0,0,0,0,-4
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,0,0,0,0,0,0,0,0,0
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,0,0,0,0,0,0,0,0,0
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,31.3,0,0,0,0,-4,0,0,-4
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,11.6,0,0,0,0,0,0,0,-4
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,43.8,0,0,0,0,0,0,0,100
20527,AL,ALISON POINTE APARTMENTS,FOLEY,7.8,0,0,0,0,-4,0,0,-4
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,35.3,0,0,0,0,-4,0,0,-4
29441,AL,AMBERWOOD APARTMENTS,TROY,61.1,0,0,0,0,0,0,0,100
22192,AL,AMBERWOOD VILLAS FORMERLY AMBERWOOD,SULLIGENT,37.5,0,0,0,0,-4,0,0,-4
1916,AL,AMESBURY APARTMENTS,PELL CITY,25.5,0,0,0,0,0,0,0,100
33720,AL,ANGELA MEADOWS,ALBERTVILLE,54.2,0,0,0,0,-4,0,0,-4
18702,AL,ANNANDALE PARK APARTMENTS,ROBERTSDALE,6.7,0,0,0,0,-4,0,0,-4
18703,AL,ANNE PLACE,MOBILE,52.2,0,0,0,0,0,0,0,100
10996,AL,ANNIE LEE GARDENS FKA SUNRISE MANOR,ARAB,40,0,0,0,0,0,0,0,100
15635,AL,APARTMENTS AT RUSSEL ERSKINE FKA RUSSEL ERSKINE BUILDING,HUNTSVILLE,100,0,0,0,0,0,0,0,100
10265,AL,APPLEGATE APARTMENTS,FLORENCE,71.4,-4,0,0,0,0,0,0,-4
1294,AL,ARBOR GATE APARTMENTS,BRIDGEPORT,100,0,0,0,0,0,0,100,0
9415,AL,ARBOR PARK,TALLADEGA,3.1,0,0,0,0,0,0,0,-4
6292,AL,ARBORS AT VICTORIA PLACE I F/K/A VICTORIA PLACE,PRATTVILLE,3.6,0,0,0,0,0,0,0,-4
20476,AL,ARBORS AT VICTORIA PLACE II F/K/A VICTORIA PLACE APARTMENTS II,PRATTVILLE,0,0,0,0,0,0,0,0,0
31,AL,ARBORS BY THE BAY FKA NORTH FORK APARTMENTS,DAPHNE,2,0,0,0,0,0,0,0,-4
10420,AL,ARBOURS AT CANE CREEK F/K/A CANE CREEK APARTMENTS,ANNISTON,35,0,0,0,0,0,0,0,100
27512,AL,ARBOURS AT DEMOPOLIS,DEMOPOLS,100,-4,0,0,0,0,0,0,-4
1299,AL,ARBOURS AT DEMOPOLIS,DEMOPOLIS,100,-4,0,0,0,0,0,0,-4
31991,AL,ARBOURS AT PIERCE CREEK,MOBILE,30.4,0,0,0,0,0,0,0,100
11001,AL,ARDMORE SQUARE APARTMENTS,ARDMORE,0,0,0,0,0,0,0,0,0
12101,AL,ARLINGTON PARK,MADISON,14.3,0,0,0,0,0,0,0,-4
35080,AL,ARTESIAN SPRINGS APARTMENTS,BRIGHTON,0,0,0,0,0,0,0,0,0
