ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_EQUAL_PCT,HOH_DOB_VALID_PCT,MBRS_DOB_VALID_PCT,UNITS_WATLEAST1_UNDR18_PCT,UNITS_WATLEAST1_ABOVE62_PCT,UNITS_WHOH_ABOVE62_PCT
16936,AL,AZALEA POINTE APARTMENTS FKA VILLAGE GREEN APTS,MOBILE,87,100,100,81.3,-4,-4
21673,AL,BANKHEAD COURT APARTMENTS,WINFIELD,-4,100,100,32.5,-4,-4
6518,AL,BANKHEAD TOWERS,BIRMINGHAM,95.2,100,100,-4,58.2,58.2
21676,AL,BARRINGTON PARC APARTMENTS,MOODY,85.4,100,100,61.5,12.5,11.5
6285,AL,BAYOU BEND,BAYOU LA BATRE,100,100,100,66.7,-4,-4
6340,AL,BAYOU VILLAGE,BAYOU LA BATRE,-4,100,100,48.1,25.3,25.3
17516,AL,BAYTOWN SENIOR VILLAGE,SEMMES,100,100,100,0,100,100
29439,AL,BAYVIEW ESTATES,ORANGE BEACH,-4,100,100,-4,46.7,46.7
33712,AL,BEAVER COVE,SCOTTSBORO,-4,100,100,0,89.6,89.6
33086,AL,BEDELL VILLAGE,AUBURN,87.5,100,100,68.8,-4,-4
20528,AL,BEDFORD PINES,BUTLER,88.1,100,100,40.5,-4,-4
15632,AL,BELLE ISLE APARTMENTS,ROBERTSDALE,100,100,100,0,92.9,92.9
35128,AL,BELLE VUE SQUARE,MILLBROOK,-4,100,100,50,-4,-4
22194,AL,BELLEMEADE APARTMENTS,MARION,100,100,100,59.3,-4,-4
33716,AL,BENNETT POINTE,THEODORE,52.5,100,100,67.5,-4,-4
40540,AL,BERKSHIRE APARTMENTS,MOBILE,87.1,100,100,65.3,-4,-4
38669,AL,BESSEMER PLACE APARTMENTS F/K/A FLINT HILL POINTE,BESSEMER,92.6,100,100,46.3,18.4,17.6
11052,AL,BEVERLYE CROSSING APARTMENTS II,DOTHAN,-4,100,100,46.9,28.1,28.1
24721,AL,BEVERLYE CROSSINGS,DOTHAN,100,100,100,40.4,24,22.1
1296,AL,BILTMORE PLACE,DOTHAN,95.8,100,100,40.3,22.2,20.8
29438,AL,BLACKWOOD ESTATES,LOXLEY,-4,100,100,38.2,29.1,21.8
6339,AL,BLOUNTSVILLE MANOR,BLOUNTSVILLE,-4,100,100,0,50,50
11004,AL,BLOUNTSVILLE PARK APARTMENTS,BLOUNTSVILLE,-4,100,100,-4,-4,-4
13770,AL,BONAIRE VILLAS,PINE HILL,-4,100,100,-4,-4,-4
6338,AL,BRADBERRY POINTE,ALEXANDER CITY,100,100,100,0,85.7,85.7
38668,AL,BRADLEY PARK APARTMENTS,ATTALLA,67.5,100,100,82.5,-4,-4
9572,AL,BRANTWOOD LANE APARTMENTS,CENTREVILLE,-4,100,100,55.6,-4,-4
22199,AL,BRENTWOOD LANDING APARTMENTS,PRATTVILLE,93.7,100,100,62,-4,-4
