ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
27458,AL,CAMELLIA PLACE,MONROEVILLE,0,-4,91.7,-4
20474,AL,CAMELLIA VILLAGE F/K/A SASSER HAVEN,BRANTLEY,0,0,-4,-4
33719,AL,CANAAN ESTATES II,TALLADEGA,0,0,-4,-4
30175,AL,CANDICE COVE,SEMMES,0,0,-4,-4
18758,AL,CANDLEWICK SENIOR VILLAGE,MONROEVILLE,0,0,100,0
33245,AL,CANDLEWOOD APARTMENTS,HURTSBORO,0,-4,78.3,-4
36794,AL,CANEBRAKE APARTMENTS,UNIONTOWN,0,-4,88.9,-4
33247,AL,CANTERBURY APARTMENTS,GREENSBORO,0,0,100,0
35082,AL,CANYON VIEW APARTMENTS,PISGAH,0,0,-4,-4
5564,AL,CARDINAL APARTMENTS,ADDISON,0,0,-4,-4
33087,AL,CARRIAGE HILLS APARTMENTS,GREENSBORO,0,-4,-4,0
12102,AL,CARROLLTON MANOR APARTMENTS,CARROLLTON,0,0,-4,-4
17464,AL,CARSON LANDING APARTMENTS,CENTER POINT,0,-4,81.7,-4
12097,AL,CASTLEWOOD APARTMENTS,HUNTSVILLE,0,0,-4,-4
31993,AL,CEDAR FOREST APARTMENTS,BREWTON,0,-4,90.9,-4
6293,AL,CEDAR GROVE APARTMENTS,SELMA,0,-4,94.2,-4
33764,AL,CEDAR KEY APARTMENTS,CEDAR BLUFF,0,0,-4,-4
51,AL,CEDAR TERRACE APARTMENTS,SELMA,0,0,-4,-4
16983,AL,CEDAR VILLAGE APARTMENTS,ROGERSVILLE,0,0,100,0
35130,AL,CEDARHAVEN,CEDAR BLUFF,0,0,-4,-4
13764,AL,CHALKVILLE MANOR APARTMENTS,BIRMINGHAM,0,-4,64.7,-4
6342,AL,CHANCERY SQUARE,EIGHT MILE,0,-4,89.3,-4
12095,AL,CHARLES PLACE,RUSSELLVILLE,0,-4,91.7,-4
5566,AL,CHARLESTON SQUARE APARTMENTS FORMERLY DEER RUN,TROY,0,0,-4,-4
12098,AL,CHASE PARK APARTMENTS,MONTGOMERY,0,0,-4,-4
50,AL,CHASTAIN MANOR,TUSCALOOSA,0,-4,-4,0
40545,AL,CHEROKEE APARTMENTS,AKRON,0,0,-4,-4
35086,AL,CHEROKEE ESTATES,CENTRE,0,0,100,0
5560,AL,CHERRY RIDGE INDEPENDENT LIVING APTS.,BIRMINGHAM,0,-4,-4,0
40549,AL,CHERRY RIDGE VILLAGE APARTMENTS,BIRMINGHAM,0,-4,-4,0
31995,AL,CHESTNUT GLEN,HUNTSVILLE,0,-4,70,-4
5562,AL,CHESTNUT HILL ESTATES,ALTOONA,0,0,-4,-4
32810,AL,CHESTNUT TRACE,TUSCALOOSA,0,-4,80.2,-4
18706,AL,CHESTNUT TRACE II,UNINCORPORATED TUSCALOOSA COUNTY,0,-4,91.4,-4
18712,AL,CHICKASAW II APARTMENTS,LINDEN,0,0,100,0
38665,AL,CITY COURT II APARTMENTS,TALLADEGA,0,-4,72.2,-4
13767,AL,CITYCENTER PLACE,BIRMINGHAM,0,0,100,0
29445,AL,CLANTON VILLAS,CLANTON,0,0,100,0
9574,AL,CLARION COVE,PELL CITY,0,-4,89.8,-4
28658,AL,CLARKSTON SQUARE,HUNTSVILLE,0,-4,-4,0
23554,AL,CLEAR SPRING APARTMENTS,COLUMBIANA,0,-4,87.2,-4
30226,AL,CLIO MANOR,CLIO,0,0,-4,-4
22195,AL,COBBLESTONE COVE APARTMENTS,MONTEVALLO,0,-4,80,-4
17461,AL,COBBLESTONE CREEK,MONTEVALLO,0,-4,-4,0
33773,AL,COBBLESTONE VILLAGE APARTMENTS,CLANTON,0,-4,94.6,-4
10264,AL,COLLEGE MANOR APARTMENTS,GADSDEN,0,-4,87.9,-4
40538,AL,COLLIER COVE,HARTSELLE,0,-4,87.5,-4
10418,AL,COLUMBIA-HALL APARTMENTS,COLUMBIA,0,0,100,0
30227,AL,COLUMBUS SQUARE I,MONTGOMERY,0,-4,94.4,-4
30224,AL,COLUMBUS SQUARE II,MONTGOMERY,0,0,100,0
28650,AL,COMMERCE STREET MANOR APARTMENTS,GREENVILLE,0,-4,-4,0
9419,AL,COMMUNITY VILLAGE I,MONTGOMERY,0,-4,-4,0
21674,AL,COOSA BEND APARTMENTS,GADSDEN,0,-4,78,-4
17559,AL,COOSA VILLAGE APARTMENTS,SYLACAUGA,0,0,100,0
27460,AL,CORNERSTONE PLACE,ALEXANDER CITY,0,0,-4,-4
17558,AL,COTTAGE HILL PLACE,MOBILE,0,0,100,0
1873,AL,COTTAGE HILL POINTE APARTMENTS,MOBILE,0,-4,82.6,-4
9418,AL,COTTAGE PARK APARTMENTS,BAY MINETTE,0,-4,91.2,-4
29443,AL,COTTON RUN APARTMENTS,PHENIX CITY,0,-4,80.2,-4
29436,AL,COTTONWOOD APARTMENTS,ATHENS,0,-4,87.5,-4
11054,AL,COTTONWOOD ESTATES,JACKSON,0,0,-4,-4
10997,AL,COTTONWOOD SENIOR APARTMENTS,MOBILE,0,0,100,0
10261,AL,COUNTRY CLUB COTTAGES,THOMASVILLE,0,0,100,0
5611,AL,COUNTRY VILLAGE,GREENVILLE,0,0,-4,-4
21679,AL,COUNTRYSIDE VILLAS,HEADLAND,0,-4,58.3,-4
17513,AL,COUNTRYWOOD I & II APARTMENTS,CENTREVILLE,0,-4,90.6,-4
12155,AL,COURT MANOR APARTMENTS F/K/A PINE CREEK APTS,PRATTVILLE,0,0,100,0
33244,AL,COVENTRY GARDENS,GROVE HILL,0,0,-4,-4
10421,AL,COVINGTON PARK,OPP,0,0,100,0
23451,AL,CRAWFORD PARK,SCOTTSBORO,0,-4,92.5,-4
11000,AL,CREEK RIDGE APARTMENTS,EUFAULA,0,-4,76.1,-4
23507,AL,CREEKSTONE APARTMENTS,RUSSELLVILLE,0,-4,93.8,-4
33772,AL,CREEKVIEW VILLAGE,FLORENCE,0,0,100,0
6561,AL,CREEKWOOD APARTMENTS,DEMOPOLIS,0,-4,75,-4
1184,AL,CREEKWOOD VILLAGE APARTMENTS,TUSCALOOSA,0,15.4,72.4,12.2
9576,AL,CRESTVIEW SENIOR COTTAGES,PRATTVILLE,0,-4,-4,0
24771,AL,CRESTWOOD APARTMENTS,HANCEVILLE,0,-4,93.8,-4
41,AL,CROWN CHASE,PHENIX CITY,0,-4,95.8,-4
1922,AL,CRYAR HOMES,ALBERTVILLE,0,0,-4,-4
12104,AL,CULLMAN VILLAGE APARTMENTS,CULLMAN,0,-4,-4,0
16980,AL,CUMBERLAND HEIGHTS,SECTION,0,0,100,0
9573,AL,CYPRESS LANDING,FLORENCE,0,-4,96.6,-4
18759,AL,CYPRESS TRACE APARTMENTS,BAY MINETTE,0,0,100,0
18756,AL,CYPRESS VILLAGE APARTMENTS,TUSKEGEE,0,-4,75,-4
38670,AL,DAKOTA APARTMENTS,TUSCALOOSA,0,-4,90,-4
1926,AL,DAUPHIN GATE,MOBILE,0,-4,91.5,-4
31986,AL,DECATUR PLACE I FKA SUMMER PLACE FKA BOARDWALK VILLAS,DECATUR,0,0,87.8,12.2
11046,AL,DECATUR PLACE II FKA SUMMER PLACE FKA BOARDWALK VILLAS II,DECATUR,0,0,-4,-4
13810,AL,DEER PARK APARTMENTS,BIRMINGHAM,0,-4,88.1,-4
6513,AL,DEER RIDGE,FORT PAYNE,0,-4,-4,0
23511,AL,DEER RIDGE II,FT PAYNE,0,-4,96.2,-4
13816,AL,DEERCREEK VILLAGE,CAMDEN,0,0,100,0
16992,AL,DEERFIELD APARTMENTS FORMERLY WESTGATE APARTMENTS,DALEVILLE,0,0,-4,-4
15683,AL,DEERPOINT APARTMENTS,ROGERSVILLE,0,-4,-4,0
9423,AL,DEERPOINT II APARTMENTS,ROGERSVILLE,0,0,100,0
11003,AL,DEKALB VILLAS,FORT PAYNE,0,-4,-4,0
27461,AL,DOUBLE CREEK APARTMENTS,FLORENCE,0,-4,-4,0
15734,AL,DOUBLE SPRINGS VILLAGE,DOUBLE SPRINGS,0,0,100,0
30,AL,DUNWOODY PLACE,HUNTSVILLE,0,-4,86.6,-4
22193,AL,EAGLE POINTE APARTMENTS,MADISON,0,-4,79.2,-4
1919,AL,EAGLE RIDGE APARTMENTS,DOTHAN,0,0,100,0
28610,AL,EAGLE RIDGE PLACE,DOTHAN,0,0,-4,-4
38675,AL,EAGLE'S LANDING DEVELOPMENT,MADISON,0,-4,71.4,-4
33769,AL,EAST LAKE HOUSE,BIRMINGHAM,0,0,-4,-4
11048,AL,EAST SIDE APARTMENTS,FAYETTE,0,0,-4,-4
6569,AL,EASTBROOK APARTMENTS,MONTGOMERY,0,-4,83.3,-4
18755,AL,EASTBROOK APARTMENTS II,MONTGOMERY,0,-4,75,-4
35077,AL,EASTBROOK APARTMENTS III,MONTGOMERY,0,-4,91.7,-4
20518,AL,EASTBROOK APARTMENTS IV,MONTGOMERY,0,-4,75,-4
4514,AL,EDGEMONT VILLAGE,DEMOPOLIS,0,0,100,0
20470,AL,EDGEMONT VILLAGE II,DEMOPOLIS,0,-4,66.7,-4
32814,AL,EDGEWOOD MANOR,FORT DEPOSIT,0,0,-4,-4
40541,AL,ELK RIVER APARTMENTS,ROGERSVILLE,0,0,-4,-4
38716,AL,ELNORA MANOR,HEFLIN,0,-4,87.5,-4
4518,AL,EMERALD POINTE FORMERLY SUNDOWN APARTMENTS,BIRMINGHAM,0,-4,95.3,-4
16985,AL,EMERALD VALLEY APARTMENTS,EVERGREEN,0,-4,-4,0
20466,AL,EMERY POINTE,ROANOKE,0,-4,81.3,-4
30218,AL,ENGLEWOOD APARTMENTS,LEESBURG,0,0,-4,-4
5568,AL,EUFAULA ESTATES,EUFAULA,0,0,100,0
35074,AL,EVANGELINE HEIGHTS,PHENIX CITY,0,0,-4,-4
40546,AL,EZRA CUNNINGHAM APARTMENTS F/K/A INVERNESS APTS,CLANTON,0,0,100,0
24767,AL,FAIR PARK APARTMENTS,BIRMINGHAM,0,-4,90,-4
6294,AL,FAIRVIEW APARTMENTS,HALEYVILLE,0,-4,91.7,-4
18754,AL,FIELD CREST APARTMENTS,COFFEEVILLE,0,0,-4,-4
6516,AL,FIELDSTONE APARTMENTS,MOULTON,0,-4,-4,0
16990,AL,FLINT RIVER APARTMENTS,HUNTSVILLE,0,-4,95.8,-4
16987,AL,FORDS MILL APARTMENTS,VALLEY,0,0,100,0
1295,AL,FOREST HILL APARTMENTS,MOBILE,0,14.2,77.2,8.7
23509,AL,FOREST MANOR APARTMENTS,BUTLER,0,0,100,0
36796,AL,FOREST RIDGE,CARBON HILL,0,0,-4,-4
10262,AL,FORRESTER GARDENS,TUSCALOOSA,0,7.9,81.6,10.5
40542,AL,FOX RIDGE APARTMENTS,VERNON,0,-4,79.5,-4
36842,AL,FOX RIDGE APARTMENTS 91012,RUSSELLVILLE,0,-4,-4,0
27507,AL,FOX RIDGE II APARTMENTS,RUSSELLVILLE,0,0,100,0
6566,AL,FOX RUN APARTMENTS,RAGLAND,0,0,100,0
31983,AL,FOX RUN SOUTH APARTMENTS,BOAZ,0,0,100,0
38671,AL,FRANKLIN HILLS,HUNTSVILLE,0,-4,92.9,-4
20524,AL,FRENCH FARMS VILLAGE APARTMENTS,ATHENS,0,-4,-4,0
1300,AL,GABLES CROSSING,CENTREVILLE,0,-4,88.1,-4
22152,AL,GARDEN COVE APARTMENTS,HUNTSVILLE,0,-4,95.5,-4
1825,AL,GARDEN GREENE APARTMENTS,LANETT,0,0,-4,-4
21829,AL,GARDEN OAKS APARTMENTS F/K/A CROSSROADS APTS,ENTERPRISE,0,0,-4,-4
10999,AL,GARDEN PARK APARTMENTS,HUNTSVILLE,0,0,100,0
1969,AL,GATEWAY PLACE,HUNTSVILLE,0,0,100,0
15689,AL,GIBBS MANOR,TROY,0,0,100,0
36847,AL,GLEN ARBOR F/K/A SOMERBY PLACE,MOBILE,0,-4,93.8,-4
21672,AL,"GLENBROOK AT OXMOOR VALLEY, PHASE I",BIRMINGHAM,0,-4,83,-4
1871,AL,GLENWOOD MEADOWS APARTMENTS,LUVERNE,0,0,100,0
15687,AL,GRACE POINTE,AUBURN,0,0,100,0
12154,AL,GRACE RIDGE,AUBURN,0,-4,94.5,-4
1971,AL,GRADY'S WALK,DOTHAN,0,-4,-4,0
17504,AL,GRAND VIEW APARTMENTS,NORTHPORT,0,-4,91.4,-4
16933,AL,GRANDVIEW GARDENS APARTMENTS,GORDO,0,0,100,0
22204,AL,GREENBRIAR NORTH,STEVENSON,0,0,-4,-4
35081,AL,GREENBRIAR TOWNHOMES,THEODORE,0,0,100,0
23512,AL,GREENFIELD APARTMENTS,LIVINGSTON,0,-4,90.6,-4
11002,AL,GREENLEAF APARTMENTS,HALEYVILLE,0,0,-4,-4
10268,AL,GREENRIDGE APARTMENTS,ELKMONT,0,0,-4,-4
31994,AL,GREENTREE APARTMENTS,ARAB,0,0,100,0
16938,AL,GREENVILLE VILLAGE,GREENVILLE,0,0,100,0
5515,AL,GREENWOOD PARK,TUSCALOOSA,0,-4,94.1,-4
24718,AL,GREYSTONE FKA WILSHIRE PARK,RAINBOW CITY,0,-4,83.3,-4
38672,AL,GREYSTONE PLACE,MOBILE,0,0,-4,-4
20471,AL,GULF BREEZE APARTMENTS,BAYOU LA BATRE,0,0,-4,-4
6567,AL,HALLMARK AT MOBILE,MOBILE,0,-4,87,-4
35085,AL,HALLMARK AT PHENIX,PHENIX CITY,0,-4,-4,0
20520,AL,HALLMARK AT SELMA,SELMA,0,-4,85.7,-4
24775,AL,HALLMARK AT TALLADEGA,TALLADEGA,0,0,-4,-4
30176,AL,HALLMARK CRESTMOOR FKA CRESTMOOR,HARTSELLE,0,-4,95,-4
28608,AL,HALLMARK GARDEN PARKWAY FKA HALLMARK HOMES AT GARDEN PARKWAY,TUSCALOOSA,0,-4,92.4,-4
11050,AL,HALLSON MANOR,ELBERTA,0,0,-4,-4
38620,AL,HAMILTON PLACE APARTMENTS,MILLBROOK,0,-4,89.3,-4
29444,AL,HAMILTON VILLAS,HAMILTON,0,0,100,0
13762,AL,HAMPTON POINT APARTMENTS,NORTHPORT,0,-4,78.3,-4
