ID,STATE,PROPERTYNAME,UNITS_RNTASSTNCE_MSNG_PCT,UNITS_RNTASSTNCE_RPTD_0_PCT,UNITS_RNTASSTNCE_RPTD_GRT0_PCT
28653,AL,ASHTON WAY APARTMENTS,0,80,20
6291,AL,ATHENS MANOR,0,0,100
4521,AL,ATHENS SQUARE,0,-4,-4
1876,AL,AUSTIN SPRINGS APARTMENTS FORMERLY SANDY SPRINGS,0,51.8,48.2
10994,AL,AUTUMN CHASE APARTMENTS,0,40,60
23455,AL,AUTUMN RIDGE APARTMENTS,0,47.6,52.4
33092,AL,AUTUMNWOOD APARTMENTS,0,35.3,64.7
35076,AL,AVALON PLAZA F/K/A FAMILY PLACE APARTMENTS,0,42.8,57.2
4567,AL,AVON SQUARE,0,76.4,23.6
32811,AL,AVONDALE GARDENS,0,35.9,64.1
16936,AL,AZALEA POINTE APARTMENTS FKA VILLAGE GREEN APTS,0,29.3,70.7
21673,AL,BANKHEAD COURT APARTMENTS,0,-4,-4
6518,AL,BANKHEAD TOWERS,0,-4,-4
21676,AL,BARRINGTON PARC APARTMENTS,0,52.1,47.9
6285,AL,BAYOU BEND,0,77.8,22.2
6340,AL,BAYOU VILLAGE,0,-4,-4
17516,AL,BAYTOWN SENIOR VILLAGE,0,-4,-4
29439,AL,BAYVIEW ESTATES,0,100,0
33712,AL,BEAVER COVE,0,52.1,47.9
33086,AL,BEDELL VILLAGE,0,68.8,31.3
20528,AL,BEDFORD PINES,0,0,100
15632,AL,BELLE ISLE APARTMENTS,0,-4,-4
35128,AL,BELLE VUE SQUARE,0,-4,-4
22194,AL,BELLEMEADE APARTMENTS,0,-4,-4
33716,AL,BENNETT POINTE,0,62.5,37.5
40540,AL,BERKSHIRE APARTMENTS,0,20.8,79.2
38669,AL,BESSEMER PLACE APARTMENTS F/K/A FLINT HILL POINTE,0,72.1,27.9
11052,AL,BEVERLYE CROSSING APARTMENTS II,0,73.4,26.6
24721,AL,BEVERLYE CROSSINGS,0,71.2,28.8
1296,AL,BILTMORE PLACE,0,100,0
29438,AL,BLACKWOOD ESTATES,0,-4,-4
6339,AL,BLOUNTSVILLE MANOR,0,0,100
11004,AL,BLOUNTSVILLE PARK APARTMENTS,0,100,0
13770,AL,BONAIRE VILLAS,0,-4,-4
6338,AL,BRADBERRY POINTE,0,100,0
38668,AL,BRADLEY PARK APARTMENTS,0,0,100
9572,AL,BRANTWOOD LANE APARTMENTS,0,-4,-4
22199,AL,BRENTWOOD LANDING APARTMENTS,0,45.6,54.4
4565,AL,BRENTWOOD LANDING II APARTMENTS,0,44.8,55.2
20475,AL,BRENTWOOD PARK,0,-4,-4
21827,AL,BREWINGTON POINTE APARTMENTS FKA BREWINGTON PLACE,0,100,0
1870,AL,BRIARWOOD ESTATES,0,100,0
17460,AL,BRISTOL DOWNS APARTMENTS FKA FIELDCREST,0,59,41
1864,AL,BROOK HAVEN APARTMENTS,0,39.7,60.3
20517,AL,BROOKEVILLE APARTMENTS,0,-4,-4
29446,AL,BROOKSHIRE MANOR APARTMENTS,0,0,100
29440,AL,BROOKSIDE APARTMENTS,0,-4,-4
33249,AL,BROOKSTONE VILLAGE APARTMENTS,0,43.5,56.5
18708,AL,BROOKVIEW APARTMENTS,0,67.7,32.3
33246,AL,BROOKWOOD APARTMENTS,0,100,0
32,AL,BUTLER COVE,0,-4,-4
18752,AL,CADENCE POINT (FKA THE BOULEVARD),0,-4,-4
6288,AL,CAHABA GLADES APARTMENTS FKA CAHABA TRACE APTS,0,-4,-4
31987,AL,CAMBRIDGE APARTMENTS,0,-4,-4
27458,AL,CAMELLIA PLACE,0,-4,-4
20474,AL,CAMELLIA VILLAGE F/K/A SASSER HAVEN,0,-4,-4
33719,AL,CANAAN ESTATES II,0,100,0
30175,AL,CANDICE COVE,0,-4,-4
18758,AL,CANDLEWICK SENIOR VILLAGE,0,-4,-4
33245,AL,CANDLEWOOD APARTMENTS,0,0,100
36794,AL,CANEBRAKE APARTMENTS,0,69.4,30.6
33247,AL,CANTERBURY APARTMENTS,0,-4,-4
35082,AL,CANYON VIEW APARTMENTS,0,-4,-4
5564,AL,CARDINAL APARTMENTS,0,-4,-4
33087,AL,CARRIAGE HILLS APARTMENTS,0,-4,-4
12102,AL,CARROLLTON MANOR APARTMENTS,0,64.6,35.4
17464,AL,CARSON LANDING APARTMENTS,0,22.5,77.5
12097,AL,CASTLEWOOD APARTMENTS,0,37.3,62.7
31993,AL,CEDAR FOREST APARTMENTS,0,-4,-4
6293,AL,CEDAR GROVE APARTMENTS,0,67.3,32.7
33764,AL,CEDAR KEY APARTMENTS,0,-4,-4
51,AL,CEDAR TERRACE APARTMENTS,0,58.3,41.7
16983,AL,CEDAR VILLAGE APARTMENTS,0,-4,-4
35130,AL,CEDARHAVEN,0,-4,-4
13764,AL,CHALKVILLE MANOR APARTMENTS,0,-4,-4
6342,AL,CHANCERY SQUARE,0,60.7,39.3
12095,AL,CHARLES PLACE,0,56.3,43.8
5566,AL,CHARLESTON SQUARE APARTMENTS FORMERLY DEER RUN,0,-4,-4
12098,AL,CHASE PARK APARTMENTS,0,73.9,26.1
50,AL,CHASTAIN MANOR,0,35.7,64.3
40545,AL,CHEROKEE APARTMENTS,0,100,0
35086,AL,CHEROKEE ESTATES,0,-4,-4
5560,AL,CHERRY RIDGE INDEPENDENT LIVING APTS.,0,69.1,30.9
40549,AL,CHERRY RIDGE VILLAGE APARTMENTS,0,-4,-4
31995,AL,CHESTNUT GLEN,0,100,0
5562,AL,CHESTNUT HILL ESTATES,0,-4,-4
32810,AL,CHESTNUT TRACE,0,66.7,33.3
18706,AL,CHESTNUT TRACE II,0,42.2,57.8
18712,AL,CHICKASAW II APARTMENTS,0,0,100
38665,AL,CITY COURT II APARTMENTS,0,-4,-4
13767,AL,CITYCENTER PLACE,0,75,25
29445,AL,CLANTON VILLAS,0,-4,-4
9574,AL,CLARION COVE,0,100,0
28658,AL,CLARKSTON SQUARE,0,-4,-4
23554,AL,CLEAR SPRING APARTMENTS,0,-4,-4
30226,AL,CLIO MANOR,0,-4,-4
22195,AL,COBBLESTONE COVE APARTMENTS,0,75.7,24.3
17461,AL,COBBLESTONE CREEK,0,-4,-4
33773,AL,COBBLESTONE VILLAGE APARTMENTS,0,100,0
10264,AL,COLLEGE MANOR APARTMENTS,0,0,100
40538,AL,COLLIER COVE,0,-4,-4
10418,AL,COLUMBIA-HALL APARTMENTS,0,-4,-4
30227,AL,COLUMBUS SQUARE I,0,77.8,22.2
30224,AL,COLUMBUS SQUARE II,0,-4,-4
28650,AL,COMMERCE STREET MANOR APARTMENTS,0,48.2,51.8
9419,AL,COMMUNITY VILLAGE I,0,77.5,22.5
21674,AL,COOSA BEND APARTMENTS,0,0,100
17559,AL,COOSA VILLAGE APARTMENTS,0,100,0
27460,AL,CORNERSTONE PLACE,0,64.6,35.4
17558,AL,COTTAGE HILL PLACE,0,25,75
1873,AL,COTTAGE HILL POINTE APARTMENTS,0,70.3,29.7
9418,AL,COTTAGE PARK APARTMENTS,0,81.3,18.7
29443,AL,COTTON RUN APARTMENTS,0,80.2,19.8
29436,AL,COTTONWOOD APARTMENTS,0,75,25
11054,AL,COTTONWOOD ESTATES,0,-4,-4
10997,AL,COTTONWOOD SENIOR APARTMENTS,0,82.5,17.5
10261,AL,COUNTRY CLUB COTTAGES,0,100,0
5611,AL,COUNTRY VILLAGE,0,0,100
21679,AL,COUNTRYSIDE VILLAS,0,-4,-4
17513,AL,COUNTRYWOOD I & II APARTMENTS,0,-4,-4
12155,AL,COURT MANOR APARTMENTS F/K/A PINE CREEK APTS,0,100,0
33244,AL,COVENTRY GARDENS,0,-4,-4
10421,AL,COVINGTON PARK,0,25,75
23451,AL,CRAWFORD PARK,0,35,65
11000,AL,CREEK RIDGE APARTMENTS,0,-4,-4
23507,AL,CREEKSTONE APARTMENTS,0,75,25
33772,AL,CREEKVIEW VILLAGE,0,67.9,32.1
6561,AL,CREEKWOOD APARTMENTS,0,100,0
1184,AL,CREEKWOOD VILLAGE APARTMENTS,0,-4,-4
9576,AL,CRESTVIEW SENIOR COTTAGES,0,100,0
24771,AL,CRESTWOOD APARTMENTS,0,-4,-4
41,AL,CROWN CHASE,0,-4,-4
1922,AL,CRYAR HOMES,0,37.5,62.5
12104,AL,CULLMAN VILLAGE APARTMENTS,0,-4,-4
16980,AL,CUMBERLAND HEIGHTS,0,0,100
9573,AL,CYPRESS LANDING,0,56.9,43.1
18759,AL,CYPRESS TRACE APARTMENTS,0,-4,-4
18756,AL,CYPRESS VILLAGE APARTMENTS,0,0,100
38670,AL,DAKOTA APARTMENTS,0,65,35
1926,AL,DAUPHIN GATE,0,7.2,92.8
31986,AL,DECATUR PLACE I FKA SUMMER PLACE FKA BOARDWALK VILLAS,0,84.7,15.3
11046,AL,DECATUR PLACE II FKA SUMMER PLACE FKA BOARDWALK VILLAS II,0,-4,-4
13810,AL,DEER PARK APARTMENTS,0,-4,-4
6513,AL,DEER RIDGE,0,67.5,32.5
23511,AL,DEER RIDGE II,0,53.8,46.2
13816,AL,DEERCREEK VILLAGE,0,0,100
16992,AL,DEERFIELD APARTMENTS FORMERLY WESTGATE APARTMENTS,0,-4,-4
15683,AL,DEERPOINT APARTMENTS,0,-4,-4
9423,AL,DEERPOINT II APARTMENTS,0,-4,-4
11003,AL,DEKALB VILLAS,0,0,100
27461,AL,DOUBLE CREEK APARTMENTS,0,70.2,29.8
15734,AL,DOUBLE SPRINGS VILLAGE,0,0,100
30,AL,DUNWOODY PLACE,0,32.1,67.9
22193,AL,EAGLE POINTE APARTMENTS,0,66.7,33.3
1919,AL,EAGLE RIDGE APARTMENTS,0,-4,-4
28610,AL,EAGLE RIDGE PLACE,0,-4,-4
38675,AL,EAGLE'S LANDING DEVELOPMENT,0,82.5,17.5
33769,AL,EAST LAKE HOUSE,0,0,100
11048,AL,EAST SIDE APARTMENTS,0,70.5,29.5
6569,AL,EASTBROOK APARTMENTS,0,100,0
18755,AL,EASTBROOK APARTMENTS II,0,-4,-4
35077,AL,EASTBROOK APARTMENTS III,0,-4,-4
20518,AL,EASTBROOK APARTMENTS IV,0,-4,-4
4514,AL,EDGEMONT VILLAGE,0,-4,-4
20470,AL,EDGEMONT VILLAGE II,0,-4,-4
32814,AL,EDGEWOOD MANOR,0,-4,-4
40541,AL,ELK RIVER APARTMENTS,0,-4,-4
38716,AL,ELNORA MANOR,0,-4,-4
4518,AL,EMERALD POINTE FORMERLY SUNDOWN APARTMENTS,0,49.5,50.5
16985,AL,EMERALD VALLEY APARTMENTS,0,-4,-4
20466,AL,EMERY POINTE,0,-4,-4
30218,AL,ENGLEWOOD APARTMENTS,0,100,0
5568,AL,EUFAULA ESTATES,0,-4,-4
35074,AL,EVANGELINE HEIGHTS,0,44.6,55.4
40546,AL,EZRA CUNNINGHAM APARTMENTS F/K/A INVERNESS APTS,0,100,0
24767,AL,FAIR PARK APARTMENTS,0,0,100
6294,AL,FAIRVIEW APARTMENTS,0,62.5,37.5
18754,AL,FIELD CREST APARTMENTS,0,-4,-4
6516,AL,FIELDSTONE APARTMENTS,0,-4,-4
16990,AL,FLINT RIVER APARTMENTS,0,79.2,20.8
16987,AL,FORDS MILL APARTMENTS,0,-4,-4
1295,AL,FOREST HILL APARTMENTS,0,67.7,32.3
23509,AL,FOREST MANOR APARTMENTS,0,-4,-4
36796,AL,FOREST RIDGE,0,35,65
10262,AL,FORRESTER GARDENS,0,50,50
40542,AL,FOX RIDGE APARTMENTS,0,71.8,28.2
36842,AL,FOX RIDGE APARTMENTS 91012,0,-4,-4
27507,AL,FOX RIDGE II APARTMENTS,0,-4,-4
6566,AL,FOX RUN APARTMENTS,0,0,100
