ID,STATE,PROPERTYNAME,UNITS_RNTASSTNCE_MSNG_PCT,UNITS_RNTASSTNCE_RPTD_0_PCT,UNITS_RNTASSTNCE_RPTD_GRT0_PCT
7369,GA,DOGWOOD VIEW APARTMENTS,0,-4,-4
35821,GA,DOUGLASS VILLAGE APARTMENTS,0,-4,-4
11436,GA,DOUGLASVILLE PROPER APARTMENTS,0,86.8,13.2
12217,GA,DOYLE VILLAGE APARTMENTS,0,-4,-4
18837,GA,DULLES PARK,0,75,25
6779,GA,DWELL AT THE VIEW-THE PARK AT SCOTTS CROSSING,0,-4,-4
35825,GA,EAGLES NEST APARTMENTS I,0,-4,-4
27578,GA,EAGLES NEST APARTMENTS II,0,-4,-4
39145,GA,EAGLES POINTE,0,-4,-4
15956,GA,EAGLES TRACE,0,72,28
12898,GA,EAST AUGUSTA COMMONS/LINCOLN SQUARE,0,32.4,67.6
6413,GA,EAST OAKS APARTMENTS,0,-4,-4
13219,GA,EASTGATE APTS - CALHOUN,0,100,0
22468,GA,EASTGATE APTS - NEWNAN,0,0,100
33885,GA,EDENFIELD PLACE APTS,0,0,100
26912,GA,EDGEWOOD PARK APARTMENTS,0,-4,-4
13160,GA,EDISON VILLAGE APARTMENTS (NEW),0,-4,-4
36305,GA,EFFINGHAM GOSHEN CROSSING,0,100,0
6357,GA,EJ KNIGHT,0,0,100
25036,GA,ELLIJAY EAST APARTMENTS,0,72.1,27.9
8669,GA,EMERALD POINTE APARTMENTS,0,-4,-4
19881,GA,ENDEAVOR POINTE,0,100,0
22961,GA,ENOTA VILLAGE APARTMENTS,0,100,0
24304,GA,ESTES PARK,0,100,0
27575,GA,ETOWAH TERRACE SENIOR/ETOWAH CROSSING,0,-4,-4
26913,GA,ETOWAH VILLAGE,0,-4,-4
11168,GA,EUREKA HEIGHTS,0,-4,-4
18111,GA,EVERGREEN VILLAGE APARTMENTS,0,-4,-4
30465,GA,FAIR OAKS APARTMENTS,0,100,0
36258,GA,FAIRFIELD APTS-VIENNA,0,0,100
7413,GA,FAIRVIEW APARTMENTS,0,0,100
8674,GA,FAITH CROSSING,0,100,0
35727,GA,FALLS PARK APARTMENTS,0,-4,-4
28785,GA,FARLEY HOMES,0,-4,-4
18204,GA,FARMINGTON HILLS,0,-4,-4
11444,GA,"FARMINGTON HILLS, PHASE II",0,-4,-4
30408,GA,FARMINGTON WOODS,0,-4,-4
7411,GA,FELTON HOMES,0,76.8,23.2
18158,GA,FIELDS AT LAKE LANIER FKA ORCHARD BROOK,0,-4,-4
18842,GA,FIELDSTONE APARTMENTS,0,-4,-4
6408,GA,FLIPPER TEMPLE,0,-4,-4
12900,GA,FOREST AT COLUMBIA,0,89.3,10.7
7469,GA,FOREST AT YORK,0,-4,-4
34529,GA,FOREST BROOK APARTMENTS,0,62.5,37.5
35675,GA,FOREST GLEN VILLAGE APARTMENTS,0,-4,-4
6304,GA,FOREST POINTE APARTMENTS,0,-4,-4
1455,GA,FOREST RIDGE APARTMENTS (NEW),0,-4,-4
38891,GA,FOREST SENIOR VILLAGE,0,-4,-4
28784,GA,FOREST VIEW APARTMENTS,0,37.1,62.9
18163,GA,FORREST HILLS AKA FORREST HEIGHTS APTS,0,-4,-4
1994,GA,FOURTH STREET VILLAGE APARTMENTS,0,71.4,28.6
6829,GA,FOXWOOD SENIOR VILLAGE,0,-4,-4
4536,GA,FOXWORTH FOREST,0,70.4,29.6
12949,GA,FREEDOM HEIGHTS,0,-4,-4
22957,GA,FREEDOMS PATH,0,-4,-4
35718,GA,"FRIENDSHIP CROSSINGS PHASE, I",0,-4,-4
2037,GA,FULLERTON SQUARE APARTMENTS,0,-4,-4
18156,GA,FULTON POINTE FKA SADDLEBROOIK/ROBINS CRESTE,0,88.8,11.2
30460,GA,GALLERIA MANOR OF SMYRNA,0,-4,-4
25039,GA,GARDENS AT COLLEGETOWN (JOHN O. CHILES ANNEX,0,100,0
13168,GA,GARDENS AT HARVEST POINT APTS.,0,88.5,11.5
24252,GA,GATES PARK  CROSSING HFOP AKA PARK COMMONS,0,17.7,82.3
1454,GA,GATES PARK CROSSING HFS APARTMENTS,0,19.6,80.4
7410,GA,GATEWAY EAST POINT,0,0,100
36303,GA,GATEWAY PINES APARTMENTS,0,100,0
18886,GA,GATEWAY PINES II,0,100,0
29619,GA,GATEWAY POINTE AKA WR REDEVELOPMENT PHASE I,0,-4,-4
7363,GA,GATWICK SENIOR VILLAGE,0,68.3,31.7
4524,GA,GE TOWER  (TOBY SEXTON REDEVELOPMENT),0,-4,-4
36308,GA,GIBSON VILLAGE APARTMENTS (REHAB),0,-4,-4
18841,GA,GLENCOE TRACE APARTMENTS,0,-4,-4
6352,GA,GLYNN ISLE/PERRY PARK TOWNHOUSES,0,0,100
29568,GA,GLYNN PLACE APARTMENTS,0,52.4,47.6
17676,GA,GOLDEN HILLS,0,-4,-4
17626,GA,GOSHEN CROSSING II,0,100,0
8671,GA,GRACE CROSSING,0,-4,-4
24991,GA,GRANITE CROSSING,0,-4,-4
11487,GA,GRAY GARDENS APARTMENTS,0,78.4,21.6
27577,GA,GREEN MOUNTAIN VILLAGE,0,-4,-4
6307,GA,GREENBRIAR APARTMENTS,0,62.2,37.8
34533,GA,GREENS AT HILLCREST (PHASE I),0,-4,-4
36299,GA,GREENS AT STONECREEK,0,51.7,48.3
26917,GA,GREENVILLE COMMONS,0,100,0
29627,GA,"GREGORY LANE APARTMENTS, PHASE II",0,100,0
1441,GA,GREYFIELD APARTMENTS,0,0,100
6732,GA,GREYSTONE APARTMENTS,0,60.6,39.4
18884,GA,GREYSTONE MANOR APARTMENTS,0,60,40
24256,GA,GRIER SENIOR MANOR FKA TIMBERCHASE APTS,0,-4,-4
7366,GA,GRINER GARDENS,0,100,0
4370,GA,GROVE PARK APARTMENTS,0,-4,-4
22475,GA,GROVEWOOD PARK APARTMENTS,0,-4,-4
8676,GA,HAMILTON VILLAGE,0,0,100
33837,GA,HAMPTON COURT,0,-4,-4
31397,GA,HAMPTON LAKE APARTMENTS,0,-4,-4
40614,GA,HARBOR POINTE SENIORS,0,100,0
23726,GA,HARBOR SQUARE APARTMENTS,0,0,100
16107,GA,HARMONY GREENE,0,-4,-4
28787,GA,HARRISTOWN PARK,0,-4,-4
35824,GA,HAVENWOOD CARTERSVILLE,0,100,0
28788,GA,HEARTHSIDE AT JOHNS CREEK WALK / HERITAGE JCW,0,-4,-4
11219,GA,HEARTHSIDE AT PEACHTREE CITY,0,-4,-4
17635,GA,HEARTHSIDE BROOKLEIGH,0,39.3,60.7
31345,GA,HEARTHSIDE SUGARLOAF,0,-4,-4
34577,GA,HEARTHSIDE TOWNLAKE - HERITAGE  MADISON POINT,0,100,0
30411,GA,HEARTHSIDE TUCKER (13-032),0,-4,-4
23727,GA,HEARTHSTONE LANDING,0,17.9,82.1
22415,GA,HEATHER HIGHLANDS,0,-4,-4
12901,GA,HEATHROW SENIOR VILLAGE,0,-4,-4
28783,GA,HERITAGE APARTMENTS,0,-4,-4
28738,GA,HERITAGE AT WALTON RESERVE,0,-4,-4
34530,GA,HERITAGE CROSSING  APTS,0,-4,-4
11177,GA,HERITAGE GREEN APARTMENTS,0,51.2,48.8
29626,GA,HERITAGE HILLS APARTMENTS,0,100,0
8622,GA,HERITAGE MANOR APTS (NEW),0,0,100
36253,GA,HERITAGE OAKS APARTMENTS,0,100,0
39152,GA,HERITAGE POINTE,0,100,0
36297,GA,HERITAGE SQUARE ELDERLY,0,0,100
17629,GA,HERITAGE STATION FAMILY (PITTSBURGH PHASE I),0,-4,-4
34575,GA,HERITAGE STATION PHASE II,0,0,100
8675,GA,HERITAGE VISTA,0,-4,-4
13163,GA,HERON LAKE,0,-4,-4
7468,GA,HERON LAKE II,0,-4,-4
17631,GA,HERRINGTON MILL APARTMENTS,0,66.5,33.5
40615,GA,HERRINGTON WOODS DBA POINTE AT SUGARLOAF,0,88.7,11.3
22956,GA,HICKORY PARK APARTMENTS,0,-4,-4
29621,GA,HICKORY TRACE,0,-4,-4
4535,GA,HIDDEN CREEK APTS,0,-4,-4
35770,GA,HIDDEN CRESTE APARTMENTS,0,65.6,34.4
38998,GA,HIGHLAND ESTATES,0,75,25
7416,GA,HIGHLAND MANOR APARTMENTS,0,68.5,31.5
13171,GA,HIGHLAND PARK SENIOR VILLAGE,0,-4,-4
12944,GA,HIGHLAND VILLAGE APARTMENTS,0,-4,-4
11221,GA,HIGHLANDS APARTMENTS,0,-4,-4
24994,GA,HIGHLANDS AT EAST ATLANTA,0,0,100
39155,GA,HILLCREST APARTMENTS,0,0,100
13221,GA,HILLTOP TERRACE I,0,38.5,61.5
7362,GA,HILLTOP TERRACE II,0,-4,-4
11166,GA,HOLLY VILLAGE APARTMENTS (NEW),0,0,100
28736,GA,HOLLYWOOD WEST/SHAWNEE APTS,0,17.4,82.6
24355,GA,HOMESTEAD APARTMENTS,0,100,0
2088,GA,HOOKS PLANTATION APARTMENTS,0,0,100
36257,GA,HORIZON SENIOR VILLAGE,0,-4,-4
22959,GA,HOUSTON VILLAGE APARTMENTS,0,0,100
19784,GA,HOWELL MILL APARTMENTS,0,41.7,58.3
19832,GA,HUNT SCHOOL VILLAGE,0,-4,-4
6790,GA,HUNTER'S CHASE APARTMENTS,0,-4,-4
26914,GA,HUNTER'S GLEN,0,71.8,28.2
1432,GA,HUNTERS RUN APARTMENTS (17-534),0,100,0
11218,GA,HUNTINGTON COURT SENIOR RESIDENCES,0,66.7,33.3
27421,GA,IMPERIAL HOTEL 2012,0,12.4,87.6
6410,GA,IMPERIAL PLACE,0,100,0
28731,GA,IRIS AT PARK POINTE FKA MERIWHETHER-II,0,-4,-4
8621,GA,IVYWOOD PARK APARTMENTS,0,50,50
8626,GA,JACK ALLEN APARTMENTS,0,-4,-4
33891,GA,JEFFERSON GROVE,0,91.2,8.8
18159,GA,JOHNSTON MILL APARTMENTS,0,-4,-4
22476,GA,JORDAN ESTATES,0,-4,-4
22418,GA,JUNIPER & 10TH HIGH RISE,0,-4,-4
34532,GA,JUNIPER COURT,0,-4,-4
35720,GA,KEYSTONE APARTMENTS,0,-4,-4
7365,GA,KINGSLAND II,0,72.2,27.8
7360,GA,KINGSTON GARDENS,0,-4,-4
31400,GA,KINGSTOWN GARDENS AKA SR. RES. AT THOMSON,0,100,0
19883,GA,KIRBY CREEK APARTMENTS,0,-4,-4
22474,GA,KIRKWOOD GARDENS,0,-4,-4
29615,GA,KIRKWOOD TRAIL APARTMENTS,0,-4,-4
24358,GA,LAFAYETTE GARDENS APARTMENTS,0,0,100
25037,GA,LAFAYETTE VILLAGE APARTMENTS,0,-4,-4
1447,GA,LAKES AT INDIAN CREEK,0,86.1,13.9
24297,GA,LAKESHIRE VILLAGE FKAEAGLES CRESTE APARTMENTS,0,87.7,12.3
4369,GA,LAKESIDE VISTA APARTMENTS,0,41.7,58.3
30456,GA,LAKEVIEW APARTMENTS,0,-4,-4
22949,GA,LAKEVIEW GARDENS,0,-4,-4
19839,GA,LAKEVIEW SENIOR GARDENS  (16-044),0,100,0
18160,GA,LAKEWOOD CHRISTIAN MANOR,0,-4,-4
29510,GA,LAKEWOOD HILLS SENIOR VILLAGE,0,-4,-4
6356,GA,LAUREL POINTE FKA LAUREL OAKS,0,-4,-4
38994,GA,LAUREL RIDGE DEVELOPMENT,0,-4,-4
18890,GA,LAUREL VILLAGE,0,0,100
12948,GA,LAURELS AT GREENWOOD,0,-4,-4
18844,GA,LAWSON AND MONTGOMERY HOMES,0,39.3,60.7
24993,GA,LEGACY AT ACWORTH APTS FKA WINGATE FALLS,0,-4,-4
4373,GA,LEGACY AT NORTH POINTE FKA NORTH POINTE APTS,0,-4,-4
29569,GA,LEGACY AT WALTON CROSSING FKA ORCHARD MILL,0,42.5,57.5
1444,GA,LEGACY AT WALTON LAKES,0,46.2,53.8
19885,GA,LEGACY AT WALTON OAKS 2,0,0,100
17628,GA,LEGACY AT WALTON PARK FKA SCHOOL STRT DEV,0,-4,-4
11216,GA,LEGACY AT WALTON TERRACE,0,18,82
2036,GA,LEGACY AT WALTON VILLAGE,0,81.7,18.3
8673,GA,LEYLAND POINTE APTS FKA LAUREL RIDGE,0,82.3,17.7
15955,GA,LIBERTY COMMONS FKA VICTORY CROSSING,0,55.6,44.4
22466,GA,LIBERTY OAKS FKA OAKS AT BRANDLEWOOD,0,55.7,44.3
2041,GA,LILLIE R. CAMPBELL HOUSE,0,-4,-4
4376,GA,LINDEN SQUARE APARTMENTS,0,-4,-4
11217,GA,LINWOOD APARTMENTS,0,15.5,84.5
13161,GA,LINWOOD PLACE,0,100,0
36304,GA,LITTLE LOTTS CREEK APARTMENTS,0,74.6,25.4
19833,GA,LIVE OAK PLANTATION,0,-4,-4
4526,GA,"LIVE OAK VILLAS, PHASE 1",0,-4,-4
11175,GA,LOGAN SENIOR VILLAGE,0,-4,-4
28786,GA,LONE MOUNTAIN VILLAGE,0,100,0
31298,GA,LONE MOUNTAIN VILLAGE PHASE II,0,100,0
6831,GA,LONGWOOD VISTA APARTMENTS,0,76.1,23.9
22373,GA,LOOKOUT POINTE,0,100,0
6789,GA,LUCKY POINTE,0,100,0
11443,GA,LUCY MORGAN I,0,-4,-4
27573,GA,LUMPKIN PARK,0,44.6,55.4
12224,GA,LYONS APARTMENTS,0,0,100
6403,GA,MADISON HEIGHTS,0,-4,-4
31352,GA,MADISON MEADOWS APTS.,0,79.6,20.4
35728,GA,MAGNOLIA CIRCLE APARTMENTS,0,77.6,22.4
24303,GA,MAGNOLIA HEIGHTS APARTMENTS,0,85.1,14.9
12219,GA,MAGNOLIA LAKE APARTMENTS,0,61.2,38.8
33893,GA,MAGNOLIA LANE,0,100,0
8625,GA,MAGNOLIA PARK APARTMENTS PHASE I,0,39.4,60.6
15963,GA,MAGNOLIA PARK II,0,34.3,65.7
33883,GA,MAGNOLIA PLACE,0,100,0
22423,GA,MAGNOLIA POINTE,0,60.9,39.1
7465,GA,MAGNOLIA TERRACE APARTMENTS,0,-4,-4
25089,GA,MAGNOLIA TERRACE II,0,-4,-4
13222,GA,MAGNOLIA TRACE,0,-4,-4
36348,GA,MAGNOLIA VILLAGE APARTMENTS (AMERICUS),0,31.3,68.8
23004,GA,MAINSTREET BRASELTON FKA BRASELTON CT,0,100,0
314,GA,MALLALIEU POINTE,0,-4,-4
24306,GA,MALLARD LAKE,0,-4,-4
6740,GA,MANOR AT BROAD STREET,0,-4,-4
22420,GA,MANOR AT INDIAN CREEK,0,77.4,22.6
12899,GA,MANOR AT INDIAN CREEK II,0,-4,-4
38999,GA,"MANOR AT SCOTT'S CROSSING, LP",0,-4,-4
39154,GA,MAPLE SQUARE APARTMENTS,0,-4,-4
11165,GA,MAPLEWOOD PARK,0,63.4,36.6
28741,GA,MARIA SENIOR GARDENS,0,-4,-4
24308,GA,MARIAN POINT,0,-4,-4
12950,GA,MARKET STATION APARTMENTS,0,100,0
35672,GA,MARSHALL LANE APARTMENTS,0,0,100
25046,GA,MARTIN HOUSE AT ADAMSVILLE PLACE,0,-4,-4
30412,GA,MARY-LEILA LOFTS,0,-4,-4
38996,GA,MASON MANOR,0,100,0
23725,GA,MAXWELL HOUSE,0,42.1,57.9
31351,GA,MCRAE-HELENA ESTATES,0,100,0
4374,GA,MEADOW CROSSING APARTMENTS,0,-4,-4
19827,GA,MEADOW WOOD APARTMENTS (NEW),0,0,100
35779,GA,MEADOWBROOK VILLAGE,0,-4,-4
27569,GA,MEADOWOOD PARK,0,-4,-4
2038,GA,MECHANICSVILLE APARTMENTS PHASE III,0,79.8,20.2
22467,GA,MECHANICSVILLE PHASE VI,0,68.4,31.6
30507,GA,MECHANICSVILLE SCATTERED SITES,0,-4,-4
12945,GA,MERRIMAC APARTMENTS,0,0,100
40663,GA,MIDTOWN SQUARE APARTMENTS,0,58.5,41.5
35820,GA,MILLS CREEK CROSSING,0,54.7,45.3
29575,GA,MILLS CREEK PLACE FKA COLUMIBA GARDENS APTS,0,50.9,49.1
22416,GA,MILLWOOD PARK APARTMENTS,0,90.7,9.3
34526,GA,MINERAL SPRINGS APARTMENTS,0,-4,-4
35721,GA,MONTEREY PASS,0,100,0
6409,GA,MONTGOMERY LANDING APARTMENTS,0,50.5,49.5
15964,GA,MOULTRIE MANOR FKA FOREST CREEK @ MOULTRIE,0,0,100
13212,GA,MOUNTAIN CREST,0,80.5,19.5
33841,GA,MOUNTAINSIDE MANOR,0,-4,-4
19834,GA,MULBERRY COURT,0,100,0
38991,GA,MYRTLE TERRACES,0,-4,-4
31349,GA,NANTAHALA VILLAGE,0,-4,-4
6737,GA,NEWNAN CROSSING APARTMENTS,0,38.3,61.7
8627,GA,NEWPORT TRACE APARTMENTS,0,-4,-4
13211,GA,NICHOLSON TERRACE,0,0,100
15811,GA,NORMAN BERRY VILLAGE SENIOR RESIDENCES,0,78.1,21.9
40655,GA,NORTH GROVE APARTMENTS FKA DOGWOOD APTS,0,69.8,30.2
31347,GA,NORTHGATE APARTMENTS AKA ARBORS ON FOURTH,0,87.3,12.7
30459,GA,NORTHGATE VILLAGE,0,58,42
1461,GA,NORWICH COMMONS,0,-4,-4
18839,GA,OAK FOREST APTS (SCOTTDALE),0,-4,-4
13218,GA,OAK VILLAGE APTS,0,0,100
29618,GA,OAKS AT NEW HOPE FKA ASHTON CREEK,0,-4,-4
18834,GA,OAKS AT PARK POINTE FKA MERIWETHER REDV I,0,45.2,54.8
17685,GA,OAKVIEW APARTMENTS,0,-4,-4
19889,GA,OAKVIEW APARTMENTS,0,-4,-4
29625,GA,OASIS AT SCHOLAR'S LANDING,0,0,100
17683,GA,OASIS OF VINE CITY,0,-4,-4
33890,GA,OCEAN BREEZE,0,100,0
29564,GA,OCONEE SPRINGS,0,-4,-4
18112,GA,OGLETHORPE RIDGE APARTMENTS,0,-4,-4
15959,GA,OLIVER PLACE,0,-4,-4
198,GA,ORCHARD GROVE APARTMENTS,0,-4,-4
30414,GA,ORCHARD WALK APARTMENTS,0,84.1,15.9
13213,GA,OVERLOOK POINTE,0,100,0
12220,GA,OVERLOOK RIDGE FKA ENCLAVE AT WEBSTER PARK,0,24.3,75.7
25091,GA,PACES LANDING APTS.,0,100,0
11447,GA,PACIFIC PARK APARTMENTS,0,69.2,30.8
35723,GA,PALISADES CLUB APARTMENTS,0,73.7,26.3
24996,GA,PALMETTO PARK FKA GENESIS GARDEN APTS,0,58.3,41.7
6359,GA,PANOLA GARDENS SENIOR HOUSING,0,100,0
8678,GA,PARADISE EAST APARTMENTS,0,8.2,91.8
13214,GA,PARADISE ESTATES,0,-4,-4
6736,GA,PARK AT MT ZION FKA PROVENCE PLACE APTS,0,-4,-4
30464,GA,PARK CITI RESIDENCES,0,100,0
27572,GA,PARK PLACE APARTMENTS,0,-4,-4
25085,GA,PARK PLACE OF CARROLLTON II,0,-4,-4
4371,GA,PARK SENIOR VILLAGE (2014-054),0,-4,-4
11123,GA,PARK TRACE,0,-4,-4
15957,GA,PARK VIEW AT COVENTRY STATION,0,53,47
24361,GA,PARK WEST,0,-4,-4
4528,GA,PARKLAND MANOR APARTMENTS,0,72.9,27.1
8677,GA,PATEVILLE ESTATES,0,75.4,24.6
7415,GA,PAVILION PLACE FKA CRESCENT HILLS,0,65.2,34.8
12218,GA,PEACH ORCHARD,0,100,0
1442,GA,PEACHWOOD PLACE APARTMENTS,0,-4,-4
6404,GA,PEAKS AT BELLS FERRY,0,76.6,23.4
18838,GA,PEAKS AT MLK,0,41.1,58.9
30462,GA,PEAKS OF CORNELIA,0,-4,-4
35769,GA,PEAKS OF WEST ATLANTA,0,38.9,61.1
23002,GA,PEARL STEPHENS VILLAGE,0,0,100
25092,GA,PECAN  GROVE I,0,-4,-4
40706,GA,PECAN  GROVE I,0,-4,-4
25041,GA,PECAN GROVE APTS FKA MONTDELE DEVELOPMENT,0,78.8,21.2
17681,GA,PECAN GROVE APTS FKA MONTDELE DEVELOPMENT,0,78.8,21.2
1458,GA,PECAN GROVE II,0,-4,-4
11440,GA,PECAN HILL OF MILLEDGEVILLE,0,-4,-4
31396,GA,PECAN POINT APARTMENTS,0,40.4,59.6
29623,GA,PECAN VILLAGE APARTMENTS (NEW),0,0,100
24351,GA,PEPPERTON VILLAS APTS (NEW),0,0,100
33939,GA,PHOENIX HOUSE,0,0,100
40717,GA,PIEDMONT HILLS APARTMENTS,0,100,0
35676,GA,PIEDMONT RIDGE APTS III,0,100,0
13121,GA,PIEDMONT SENIOR TOWER,0,-4,-4
27418,GA,PIGEON BLUFF APTS (NEW),0,-4,-4
33937,GA,PIGEON CREEK APTS (NEW),0,-4,-4
39144,GA,PINE FOREST APARTMENTS,0,55.6,44.4
12894,GA,PINE HILL APARTMENTS,0,-4,-4
22426,GA,PINE MEADOWS,0,100,0
30467,GA,PINE POINT APARTMENTS AKA JT PINE POINT,0,-4,-4
12954,GA,PINE POINTE APARTMENTS I,0,-4,-4
26915,GA,PINE RIDGE ESTATES,0,100,0
25086,GA,PINE TERRACE,0,-4,-4
22417,GA,PINE TRAILS,0,100,0
29620,GA,PINE VILLAGE APARTMENTS,0,-4,-4
6406,GA,PINEBROOK APTS,0,100,0
24299,GA,PINES AT WILLOWBROOK,0,-4,-4
4534,GA,PINES BY THE CREEK APARTMENTS,0,-4,-4
8670,GA,PINEWOOD PARK APARTMENTS,0,61.1,38.9
11446,GA,PINEWOOD VILLAGE,0,-4,-4
22953,GA,PINEWOOD VILLAGE II APARTMENTS,0,73.3,26.7
34483,GA,PLANTATION APARTMENTS,0,100,0
35671,GA,PLANTATION APARTMENTS IV,0,100,0
7364,GA,PLANTATION RIDGE,0,82,18
40712,GA,POINTE NORTH SENIOR VILLAGE,0,-4,-4
29666,GA,POINTE NORTH VILLAGE II,0,-4,-4
13220,GA,POPLAR GROVE APARTMENTS,0,-4,-4
4531,GA,POTEMKIN SENIOR VILLAGE,0,75.4,24.6
16112,GA,POTEMKIN SENIOR VILLAGE OF WARNER ROBINS II,0,-4,-4
31348,GA,POTEMKIN VILLAGE OF THOMASTON,0,100,0
27576,GA,POWELL PLACE,0,-4,-4
25043,GA,PRAIRIE SUMMIT APARTMENTS,0,-4,-4
23723,GA,PRESERVES AT CHATHAM PARKWAY,0,67.9,32.1
24356,GA,PRESLEY WOODS,0,-4,-4
12897,GA,PRINCETON COURT SENIOR RESIDENCES,0,0,100
36254,GA,PROVENANCE AT HOLLOWELL FAMILY,0,60.5,39.5
33884,GA,PROVIDENCE AT PARKWAY VILLAGE,0,-4,-4
29624,GA,QUAIL HOLLOW I APARTMENTS,0,-4,-4
23001,GA,QUAIL HOLLOW II APARTMENTS,0,33.3,66.7
309,GA,QUAIL RUN,0,0,100
18836,GA,RAMSEY RUN,0,-4,-4
3874,GA,RED OAK VILLAGEOF STOCKBRIDGE,0,-4,-4
2044,GA,REGAL PARK APARTMENTS,0,-4,-4
194,GA,RENAISSANCE AT PARK PLACE SOUTH,0,59.7,40.3
33839,GA,RESERVE AT IVY CREEK,0,80.8,19.2
18843,GA,RETREAT AT DORSEY MANOR,0,0,100
35778,GA,RETREAT AT MADISON PLACE,0,76.5,23.5
36300,GA,RETREAT AT MCEVER AKA LANIER AT MCEVER,0,-4,-4
2040,GA,RETREAT AT MILLS CREEK,0,64.3,35.7
19880,GA,RETREAT AT SPRING HILL,0,-4,-4
18155,GA,REYNOLDSTOWN COMMONS FKA MORELAND SQUARE,0,-4,-4
6739,GA,REYNOLDSTOWN SENIOR RESIDENCES,0,-4,-4
24255,GA,RICHMOND SUMMIT,0,0,100
6785,GA,RICHMOND VILLAS,0,-4,-4
11223,GA,RIDGECREST,0,-4,-4
22517,GA,RIDGEFIELD PLACE,0,-4,-4
27567,GA,RIDGEWALK APARTMENTS FKA ALTA RIDGEWALK,0,-4,-4
13167,GA,RIVER POINT I & II AKA WESSELS/BLACKSHEAR RDV,0,5.1,94.9
18110,GA,RIVER RIDGE AT CANTON,0,86.5,13.5
24250,GA,RIVER WALK AKA OAK RIDGE APARTMENTS,0,56.6,43.4
33842,GA,RIVERCHASE APARTMENTS FKA SANDBAR MANOR,0,30.6,69.4
18114,GA,RIVERCREST APARTMENTS,0,58.7,41.3
1434,GA,RIVERSIDE GARDENS A.K.A ASHTON RIVERSIDE,0,0,100
11438,GA,RIVERSTOCK APARTMENTS,0,90.6,9.4
6361,GA,RIVERVIEW HEIGHTS FKA OCONEE PARK,0,-4,-4
35673,GA,RIVERWOOD APARTMENTS,0,-4,-4
18889,GA,RIVERWOOD PARK APARTMENTS,0,76.7,23.3
40658,GA,ROBINS LANDING,0,77.6,22.4
191,GA,ROLLING BENDS I FKA ETHERIDGE COURT REDEV I,0,33.7,66.3
24992,GA,ROLLING BENDS II FKA ETHERIDGE COURT II APTS,0,25.3,74.7
35775,GA,ROLLING HILLS APARTMENTS,0,100,0
24350,GA,ROLLING OAKS ELDERLY APARTMENTS,0,0,100
38993,GA,ROLLING OAKS FAMILY AKA ROLLING OAKS I,0,-4,-4
29572,GA,ROLLINGWOOD PLACE APARTMENTS,0,84.7,15.3
19836,GA,ROSA BURNEY MANOR,0,-4,-4
23728,GA,ROSE OF SHARON,0,24.3,75.7
6832,GA,ROSEWOOD ESTATES,0,-4,-4
18209,GA,ROSEWOOD PARK APARTMENTS,0,-4,-4
33894,GA,ROSEWOOD VILLAGE,0,0,100
17680,GA,ROYAL OAKS FKA LIBERTY PLACE  (2014-012),0,58.6,41.4
1992,GA,ROYAL POINTE APARTMENTS,0,-4,-4
8720,GA,RUTHIE MANOR,0,-4,-4
31299,GA,SABLE CHASE APARTMENTS,0,85.8,14.2
33938,GA,SADDLE CREEK APARTMENTS,0,-4,-4
18891,GA,SANDALWOOD TERRACE,0,100,0
19884,GA,SANTA ANA APARTMENTS,0,0,100
39150,GA,SARATOGA COURT,0,100,0
18885,GA,SATILLA VILLAS  (17-541),0,27.3,72.7
33895,GA,SAVANNAH GARDENS PHASE I,0,84.9,15.1
27570,GA,SAVANNAH GARDENS PHASE III,0,69.8,30.2
12892,GA,SAVANNAH GARDENS PHASE IV,0,-4,-4
40613,GA,SAVANNAH GARDENS V,0,-4,-4
38886,GA,SAVANNAH NEIGHBORHOOD ACTION PROJECT I,0,0,100
24349,GA,SAVANNAH NEIGHBORHOOD ACTION PROJECT II,0,0,100
23003,GA,SAVANNAH NEIGHBORHOOD ACTION PROJECT III (A),0,0,100
6456,GA,SAVANNAH NEIGHBORHOOD ACTION PROJECT III (A),0,0,100
24300,GA,SAVANNAH SUMMIT AKA ASHTON SAVANNAH,0,0,100
13164,GA,SAWMILL LANDING,0,100,0
1445,GA,SELMAN PLACE,0,-4,-4
12226,GA,SENIOR RESIDENCES AT MERCY PARK,0,-4,-4
4368,GA,SEVEN COURTS APARTMENTS,0,81.5,18.5
22958,GA,SHADY GROVE APARTMENTS,0,-4,-4
24309,GA,SHANGRI-LA PARK,0,100,0
195,GA,SHEPPARD STATION,0,-4,-4
29511,GA,SHOAL CREEK MANOR APARTMENTS,0,-4,-4
11171,GA,SILVER LAKES,0,100,0
17636,GA,SILVERWOOD PLACE,0,100,0
28732,GA,SISTER'S COURT *NEW GAID 14-037,0,85.5,14.5
25088,GA,SKYLINE TRACE,0,80.7,19.3
27574,GA,SOMERSET CLUB AKA  SOMERSET COVE APTS,0,77.4,22.6
15954,GA,SOUTH RIVER GARDENS FKA COLUMBIA HILL,0,85.8,14.2
22421,GA,SOUTH ROME APARTMENTS,0,-4,-4
6787,GA,SOUTH ROSSVILLE SENIOR VILLAGE,0,-4,-4
18153,GA,SOUTHFORK APARTMENTS  (2014-040),0,-4,-4
6412,GA,SOUTHWESTERN ESTATES,0,71.4,28.6
19838,GA,SOUTHWESTERN ESTATES,0,71.4,28.6
12946,GA,SPRING CREEK B,0,-4,-4
